gameID,X,targetNum,guess
67,5,63,52
67,6,63,55
67,7,63,69
67,8,63,61
67,9,63,63
68,1,71,53
68,2,71,64
68,3,71,79
68,4,71,69
68,5,71,78
68,6,71,72
68,7,71,70
68,8,71,71
69,1,13,21
69,2,13,10
69,3,13,20
69,4,13,18
69,5,13,15
69,6,13,12
69,7,13,14
69,8,13,13
70,1,56,48
70,2,56,91
70,3,56,62
70,4,56,57
70,5,56,54
70,6,56,56
71,1,58,55
71,2,58,58
72,1,45,9
72,2,45,15
72,3,45,22
72,4,45,58
72,5,45,39
72,6,45,51
72,7,45,47
72,8,45,40
72,9,45,43
72,10,45,45
73,1,51,85
73,2,51,54
73,3,51,35
73,4,51,51
74,1,35,14
74,2,35,52
74,3,35,22
74,4,35,35
75,1,79,34
75,2,79,89
75,3,79,45
75,4,79,51
75,5,79,62
75,6,79,75
75,7,79,85
75,8,79,78
75,9,79,79
76,1,42,98
76,2,42,87
76,3,42,12
76,4,42,70
76,5,42,31
76,6,42,44
76,7,42,42
77,1,70,59
77,2,70,87
77,3,70,75
77,4,70,61
77,5,70,67
77,6,70,72
77,7,70,68
77,8,70,70
78,1,62,98
78,2,62,46
78,3,62,87
78,4,62,48
78,5,62,76
78,6,62,58
78,7,62,65
78,8,62,59
78,9,62,61
78,10,62,62
79,1,92,58
79,2,92,67
79,3,92,77
79,4,92,95
79,5,92,87
79,6,92,90
79,7,92,94
79,8,92,92
80,1,81,63
80,2,81,95
80,3,81,73
80,4,81,78
80,5,81,90
80,6,81,84
80,7,81,80
80,8,81,82
80,9,81,81
81,1,66,97
81,2,66,64
81,3,66,93
81,4,66,87
81,5,66,70
81,6,66,66
82,1,71,91
82,2,71,85
82,3,71,56
82,4,71,57
82,5,71,59
82,6,71,67
82,7,71,73
82,8,71,70
82,9,71,72
82,10,71,71
83,1,4,14
83,2,4,3
83,3,4,10
83,4,4,5
83,5,4,4
84,1,1,41
84,2,1,40
84,3,1,38
84,4,1,33
84,5,1,6
84,6,1,1
85,1,95,81
85,2,95,97
85,3,95,84
85,4,95,92
85,5,95,95
86,1,93,39
86,2,93,72
86,3,93,87
86,4,93,88
86,5,93,94
86,6,93,91
86,7,93,92
86,8,93,93
87,1,93,54
87,2,93,99
87,3,93,85
87,4,93,93
88,1,92,46
88,2,92,63
88,3,92,76
88,4,92,97
88,5,92,80
88,6,92,96
88,7,92,84
88,8,92,92
89,1,85,2
89,2,85,36
89,3,85,46
89,4,85,76
89,5,85,99
89,6,85,77
89,7,85,96
89,8,85,88
89,9,85,83
89,10,85,86
89,11,85,85
90,1,46,66
90,2,46,43
90,3,46,64
90,4,46,58
90,5,46,53
90,6,46,51
90,7,46,49
90,8,46,48
90,9,46,44
90,10,46,46
91,1,87,21
91,2,87,62
91,3,87,98
91,4,87,64
91,5,87,68
91,6,87,89
91,7,87,70
91,8,87,82
91,9,87,85
91,10,87,86
91,11,87,87
92,1,65,84
92,2,65,35
92,3,65,42
92,4,65,57
92,5,65,60
92,6,65,73
92,7,65,62
92,8,65,66
92,9,65,63
92,10,65,64
92,11,65,65
93,1,17,2
93,2,17,8
93,3,17,49
93,4,17,29
93,5,17,13
93,6,17,20
93,7,17,18
93,8,17,14
93,9,17,16
93,10,17,17
94,1,41,3
94,2,41,43
94,3,41,7
94,4,41,34
94,5,41,42
94,6,41,36
94,7,41,41
95,1,18,13
95,2,18,60
95,3,18,14
95,4,18,17
95,5,18,48
95,6,18,39
95,7,18,24
95,8,18,20
95,9,18,18
96,1,40,28
96,2,40,97
96,3,40,30
96,4,40,39
96,5,40,44
96,6,40,42
96,7,40,41
96,8,40,40
97,1,55,63
97,2,55,45
97,3,55,52
97,4,55,61
97,5,55,60
97,6,55,53
97,7,55,56
97,8,55,54
97,9,55,55
98,1,57,43
98,2,57,86
98,3,57,50
98,4,57,84
98,5,57,57
99,1,18,39
99,2,18,4
99,3,18,7
99,4,18,31
99,5,18,11
99,6,18,17
99,7,18,30
99,8,18,28
99,9,18,25
99,10,18,23
99,11,18,18
100,1,6,59
100,2,6,44
100,3,6,12
100,4,6,11
100,5,6,2
100,6,6,5
100,7,6,6
101,1,54,14
101,2,54,32
101,3,54,84
101,4,54,62
101,5,54,36
101,6,54,44
101,7,54,56
101,8,54,50
101,9,54,51
101,10,54,54
102,1,98,64
102,2,98,81
102,3,98,94
102,4,98,97
102,5,98,99
102,6,98,98
103,1,57,31
103,2,57,40
103,3,57,83
103,4,57,79
103,5,57,69
103,6,57,59
103,7,57,41
103,8,57,42
103,9,57,56
103,10,57,58
103,11,57,57
104,1,12,32
104,2,12,15
104,3,12,6
104,4,12,8
104,5,12,14
104,6,12,13
104,7,12,11
104,8,12,12
105,1,55,67
105,2,55,61
105,3,55,12
105,4,55,33
105,5,55,34
105,6,55,56
105,7,55,49
105,8,55,53
105,9,55,55
106,1,31,65
106,2,31,22
106,3,31,45
106,4,31,35
106,5,31,24
106,6,31,26
106,7,31,33
106,8,31,31
107,1,74,31
107,2,74,79
107,3,74,60
107,4,74,75
107,5,74,66
107,6,74,72
107,7,74,73
107,8,74,74
108,1,10,75
108,2,10,60
