gameId,user,targetNum,startTime,duration,finishTime,numGuesses,guess1,guess2,guess3,guess4,guess5,guess6,guess7,guess8,guess9,guess10,guess11,guess12,guess13,guess14,guess15,guess16,guess17,guess18,guess19,guess20
4f5efe32-2f4c-4b63-9a85-ca5bd105b44f,2408,87,2019-09-21 14:19:28.384,33,2019-09-21 14:20:01.109,6,75,90,80,85,80,87,,,,,,,,,,,,,,
a4ade365-4377-4b08-b3ae-c45764878d57,1577,46,2019-09-21 14:38:28.566,37,2019-09-21 14:39:05.647,7,52,49,17,31,41,45,46,,,,,,,,,,,,,
e7ed9720-312c-4a45-9cb6-b0aaed048041,1577,44,2019-09-21 14:39:19.676,52,2019-09-21 14:40:11.229,9,10,52,31,38,46,32,42,43,44,,,,,,,,,,,
73bdfb98-125d-4ce7-ba39-4f7be9fbe2d6,811,34,2019-09-21 14:42:58.340,106,2019-09-21 14:44:44.177,12,10,20,30,40,1,31,25,35,35,32,33,34,,,,,,,,
49563837-8dd9-4b27-a8d9-2e6e9e0ab616,628,39,2019-09-21 14:43:36.069,54,2019-09-21 14:44:29.954,5,60,4,40,27,39,,,,,,,,,,,,,,,
e2b4f2d4-c1a2-4d04-9cd1-f9897d06c8f7,628,36,2019-09-21 14:44:51.222,96,2019-09-21 14:46:27.151,14,1,41,21,37,21,26,28,29,4,40,30,31,33,36,,,,,,
cfde6573-db69-4ae7-bf4a-5d42531afab7,811,56,2019-09-21 14:45:15.633,62,2019-09-21 14:46:17.549,11,10,90,30,60,50,60,35,65,55,26,56,,,,,,,,,
1f3a6536-7fcc-4e76-bb0b-4a4bea7e341b,811,92,2019-09-21 14:46:30.855,50,2019-09-21 14:47:20.823,9,50,60,70,80,90,100,95,94,92,,,,,,,,,,,
ec7ee267-8423-439c-91ab-93cdbb51ea82,2933,16,2019-09-21 15:00:50.803,87,2019-09-21 15:02:18.214,11,98,78,55,2,12,22,18,15,19,17,16,,,,,,,,,
a29db54d-521e-4aba-a5a0-6ee115bed12a,2984,90,2019-09-21 15:22:48.021,71,2019-09-21 15:23:58.806,7,16,34,45,57,89,94,90,,,,,,,,,,,,,
d0dc44c1-7a7b-4968-9554-3535c745a91a,1983,34,2019-09-21 15:23:22.603,89,2019-09-21 15:24:52.066,8,50,20,30,40,35,32,33,34,,,,,,,,,,,,
03e53c3b-a56f-4180-9355-a67dc8e98664,2647,62,2019-09-21 15:36:54.817,105,2019-09-21 15:38:39.894,15,5,10,25,50,100,99,81,71,51,60,69,68,65,63,62,,,,,
c91de5a6-552a-4ba3-aeb5-05dc7e1d61ef,2244,53,2019-09-21 15:40:01.461,41,2019-09-21 15:40:42.308,7,35,50,100,70,65,55,53,,,,,,,,,,,,,
b01f0f46-955b-493a-aacd-e873bee693d3,2244,12,2019-09-21 15:40:57.234,54,2019-09-21 15:41:51.298,8,30,30,5,10,15,10,13,12,,,,,,,,,,,,
